adres_id,ulica,nr_budynku,nr_mieszkania,kod_pocztowy,miasto
142,Forest,431,40,799673,Ozatlán
143,Warrior,499,49,418649,Utrecht (stad)
144,Pleasure,134,17,113421,Siennica Różana
145,Ramsey,369,98,131336,"Palmas De Gran Canaria, Las"
146,Westerfield,568,16,311972,Hậu Nghĩa
147,Stang,159,51,294328,Sukakerta
148,Pond,183,56,344900,Junyang
149,Service,216,96,460771,Toutosa
150,Mitchell,735,60,751207,Washington
151,Fairfield,607,49,897607,Novovorontsovka
152,Thompson,334,13,526173,Néa Péramos
153,Anhalt,210,46,216305,Hermosa
154,Banding,397,7,142415,Cabo
155,Hauk,12,73,613972,Jequitinhonha
156,Forest Run,662,49,618998,Santa Cruz
157,Little Fleur,261,21,578824,Lewotola
158,Logan,666,25,273615,Long Loreh
159,Farwell,744,38,929658,Bratsigovo
160,Forest Dale,439,78,884875,San Francisco
161,Derek,516,75,254655,Dong’ao
162,Badeau,188,88,487757,Meruge
163,Laurel,105,61,220689,Sinargalih
164,Grayhawk,715,79,860813,Gurra e Vogël
165,Londonderry,308,48,752545,Cruzeiro
166,Bunting,56,34,729327,Golacir
167,Milwaukee,255,35,151008,Muaralabuh
168,Grim,649,15,659365,Tekik Wetan
169,Magdeline,89,39,631693,Wangcun
170,Grim,674,89,527397,Bilo
171,New Castle,269,54,153131,Höshööt
172,Lawn,742,42,558638,Rassvet
173,Tomscot,560,31,870507,Sioux Falls
174,Delladonna,219,7,138150,Ţūbās
175,Scott,763,86,293916,Pasongsongan
176,Bay,595,20,932162,Jobabo
177,Eliot,261,21,882391,Naranjal
178,Vernon,59,86,732199,Selmes
179,Johnson,618,99,744285,Mendeleyevsk
180,Pepper Wood,472,82,608973,Jevíčko
181,Loeprich,150,11,626836,Nijiangping
182,Autumn Leaf,478,6,890432,Pocpo
183,Daystar,133,38,319384,Xidoupu
184,Fallview,707,97,156522,Rybno
185,Summit,675,52,823976,Dasht-e Qal‘ah
186,Cottonwood,466,16,647030,Chodová Planá
187,Texas,615,4,601503,Tayginka
188,Kenwood,307,91,900597,Santo Tomé
189,Hazelcrest,56,55,683593,Al Buq‘ah
190,Columbus,45,46,965509,Moyale
191,Stephen,765,55,922849,Urozhaynoye
192,Kenwood,107,33,678906,Teluksantong
193,Sauthoff,737,15,852728,Pniewy
194,Bonner,454,61,791754,San Luis Jilotepeque
195,Talmadge,288,16,931547,Salinggara
196,Bashford,233,20,154638,Ushiku
197,Bartelt,103,42,413758,Cheb
198,Namekagon,189,2,494304,Närpes
199,Amoth,401,17,577650,Kaffrine
200,Anhalt,603,26,138482,Yingshouyingzi
201,Macpherson,159,27,668917,Lairoka
202,Algoma,505,45,558922,Lāchi
203,Knutson,94,47,661101,Qianchuan
204,Westend,55,81,220200,Foso
205,Mockingbird,259,70,337612,Santa Rosa
206,Saint Paul,675,63,218939,Bukabu
207,Menomonie,506,94,854417,Pasaco
208,Truax,259,78,647482,Siqian
209,Kenwood,630,53,579147,Areeiro
210,Towne,301,40,369534,Baltimore
211,Lunder,256,22,815741,Jundiaí
212,Center,610,14,984352,Saint-Quentin-en-Yvelines
213,Kropf,491,93,315726,Valada
214,Fulton,91,64,338631,Kalimati
215,Daystar,763,61,315597,Timbiras
216,Ridgeway,10,11,360317,Strizhi
217,Westport,613,53,361943,Sanghan
218,Hansons,214,45,664250,Batang
219,Cascade,523,90,340259,Kibiti
220,Sloan,554,22,966567,Hakui
221,Barnett,521,65,152034,San Martín
222,Maple,221,34,355895,Minsk
223,Cottonwood,370,85,845246,Wuda
224,Loftsgordon,663,39,260740,Fort Worth
225,Glendale,383,36,564708,Iquique
226,Grover,359,45,902170,Adámas
227,Tennessee,29,33,389433,Fukadale
228,East,712,56,902145,Izumi
229,Kenwood,344,56,961156,Hønefoss
230,Bluestem,46,49,565904,Maputsoe
231,Hazelcrest,727,44,419126,Thị Trấn Yên Thịnh
232,Namekagon,161,66,121234,Steinfort
233,Spenser,601,23,717478,Tríkala
234,Upham,707,86,903142,Barranqueras
235,Claremont,731,77,904584,Guimbal
236,Ridge Oak,472,54,871341,Lucaya
237,Sauthoff,252,100,672729,Weekaka
238,Eastwood,429,35,329002,Pasirmadang
239,Village Green,48,33,261348,Yingtan
240,Vernon,381,44,761496,Bandjoun
241,Melby,653,63,397205,Nielisz
242,Oakridge,514,21,959279,Duko
243,Veith,309,25,310865,Lampa
244,Moulton,478,3,171812,Cool űrhajó
245,Shopko,111,72,652961,Yokotemachi
246,Nova,52,65,544736,Isiro
247,Bluestem,21,74,515214,Huazangsi
248,Delladonna,131,71,150741,Val-de-Reuil
249,Susan,750,80,459842,Jagiełła
250,Summit,116,22,501193,Lacolle
251,Heffernan,256,4,394924,Sinop
252,Farragut,330,95,738390,Brailiv
253,Division,179,6,561439,Salinópolis
254,Armistice,673,7,260535,Meijiang
255,Eastlawn,518,50,882373,Sikur
256,Dryden,73,45,599259,Ţāqchah Khānah
257,Bartillon,246,59,634174,Al Jubayhah
258,Upham,606,91,614075,Stroitel’
259,Sachs,648,37,461652,Beya
260,Kinsman,413,5,507660,Tsaratanana
261,Fairview,14,42,623135,North Battleford
262,Manufacturers,168,12,914900,Jixing
263,Westerfield,519,66,322886,Gaoyang
264,Oriole,125,48,130804,Gaxung
265,Cordelia,464,79,679009,Starobachaty
266,Fairfield,532,4,831264,Huilong
267,Milwaukee,113,37,970465,Nancang
268,Maryland,215,48,651762,Shuqiao
269,Springview,561,84,663368,Château-Richer
270,Morningstar,203,32,284258,Oullins
271,Sycamore,66,97,638694,San Isidro
272,Crescent Oaks,282,26,936804,Lyubokhna
273,Gulseth,370,46,779250,Łaskarzew
274,Pearson,149,98,137390,Banatski Dvor
275,Helena,238,13,983395,La Bélgica
276,Bartillon,322,8,697135,Tangnanzhen
277,Corscot,379,54,683823,Mmathubudukwane
278,Atwood,603,47,490951,Maharagama
279,Heath,467,56,626693,Sandefjord
280,Bartelt,94,23,263422,Chivor
281,Glacier Hill,416,12,695271,Huangdu
282,Maple Wood,426,100,874833,Gagarin
283,Weeping Birch,426,4,246238,Vila Nova Sintra
284,Shelley,292,53,915075,Bamenda
285,Huxley,543,2,929565,Shaoxing
286,Tony,316,71,343503,Canhas
287,Esker,95,84,358656,Palaran
288,Granby,455,50,736233,Damietta
289,Randy,364,94,493537,Abade de Neiva
290,Dovetail,662,29,821818,Athabasca
291,Sommers,623,41,636265,Gýtheio
292,Meadow Valley,555,34,650636,Saratov
293,Melody,243,70,366005,Casal Novo
294,Vernon,291,65,775894,Mailsi
295,Eastwood,472,23,473805,Nārang
296,Brentwood,157,95,338664,Linao
297,Red Cloud,305,54,896330,Pyetrykaw
298,Eagle Crest,51,31,606329,Komyshnya
299,Pond,588,89,580098,Muramatsu
300,Granby,287,53,616132,Gorno Orizari
301,Carey,460,84,279468,Nurlat
302,North,290,86,815664,Sentani
303,Trailsway,214,5,443340,Xia’ertai
304,Sauthoff,110,79,434278,Ganhe
305,Lake View,269,73,221023,Ake-Eze
306,Golf,262,86,444743,Rawa Satu
307,Northview,704,90,843555,Wenlin
308,Clyde Gallagher,725,35,801873,Chengkan
309,Emmet,15,91,111453,Dorogobuzh
310,Kensington,428,78,186292,Pakxong
311,Charing Cross,12,18,815849,Wenquan
312,Melvin,286,89,848741,Taoyuan
313,Calypso,395,72,521621,Eguia
314,Sachtjen,348,71,716482,Puerto Francisco de Orellana
315,Wayridge,629,30,126994,Pagangan
316,Charing Cross,588,15,941850,Volodymyrets’
317,Anhalt,687,92,464226,Sangju
318,Mandrake,162,52,381316,Romilly-sur-Seine
319,Bultman,264,91,475319,Vacenovice
320,Westridge,664,2,142464,Prokhladnyy
321,Surrey,506,73,527454,Camagüey
322,Welch,514,46,699267,Thị Trấn Văn Quan
323,Knutson,216,54,644540,Nova Iguaçu
324,Butternut,639,77,204076,Murom
325,Meadow Valley,251,70,202558,Babakantonggoh
326,Graedel,544,88,586439,Rodhítsa
327,Welch,447,25,541189,Shuyuan
328,Waxwing,608,78,987143,Oslo
329,Hayes,215,35,282516,Wonocolo
330,Hoepker,338,49,792791,Fray Bentos
331,Hudson,208,74,248563,Horgo
332,Manley,617,78,178139,Waigete
333,Golf Course,476,52,734454,Balitoc
334,Iowa,666,67,203042,Žatec
335,Calypso,376,89,913337,Dayanggezhuang
336,7th,655,25,379962,Melong
337,Scott,359,45,959034,Gondang
338,Bobwhite,621,10,930348,Klatovy
339,Canary,748,74,173746,Chaparral
340,Milwaukee,80,14,629829,Rubio
341,Alpine,65,92,835323,Rotterdam postbusnummers
342,Rieder,429,90,717256,Rancabolang
343,Pankratz,531,21,185347,Lemahputih
344,Sundown,681,9,393079,Dessalines
345,Forest Run,637,83,602342,Nanshi
346,South,625,15,325346,Paris 01
347,Golden Leaf,692,91,510874,Pereira
348,Chive,671,72,843943,Tafí Viejo
349,Coolidge,649,53,426671,Lupo
350,Sachs,121,22,908795,Ad Dann
351,Katie,76,61,567499,Lere
352,Hoard,448,82,417502,Malinovskiy
353,Pine View,746,23,501924,Stony Hill
354,Bluestem,261,39,355901,Kharp
355,Spohn,211,34,986475,Burnham
356,Knutson,565,49,925087,Olejet
357,Tomscot,708,61,270367,Sungai
358,Londonderry,165,44,565640,Senta
359,Portage,38,52,944155,Xiaoyangqi
360,La Follette,539,28,839711,Ipaba
361,Hoffman,156,46,501012,Las Palmas
362,Fulton,136,63,971661,Klimavichy
363,Hansons,21,59,123483,Naguanagua
364,Hayes,170,51,524805,Itaituba
365,Lakewood Gardens,110,1,989141,Pailles
366,Bowman,13,5,786748,Francisco Sarabia
367,Pearson,69,21,293882,Józefosław
368,Stoughton,355,29,778985,Tavira
369,Muir,641,58,390718,Linköping
370,Cambridge,747,94,815545,Capitán Sarmiento
371,Corben,278,67,562900,Kopychyntsi
372,Kipling,445,84,773317,Zelmeņi
373,Boyd,209,18,946940,Červenka
374,Golf,448,98,646755,Daigo
375,Bultman,190,77,612195,Jiangna
376,Green,166,69,536374,Luodian
377,Starling,19,5,480754,Le Havre
378,Veith,351,2,799670,Dom Pedro
379,Roth,249,55,661040,Täby
380,Maple Wood,140,70,601646,Ytterby
381,Mockingbird,246,71,843318,Pagaruša
382,7th,695,94,569705,Looc
383,Bowman,637,77,854561,Rivera
384,Dunning,123,70,490354,Staroutkinsk
385,Superior,419,95,441453,Santa Elena
386,Pennsylvania,391,49,964118,El Carmen
387,Forest Dale,40,8,510446,Paraparaumu
388,Lighthouse Bay,738,88,514141,Maintang
389,Dryden,525,59,376883,Xincheng
390,Hazelcrest,340,2,816927,Shaoxing
391,Moulton,287,48,235631,Pasembon
392,Hanover,96,9,294156,Pilpichaca
393,Thackeray,472,67,727907,Dembéni
394,4th,451,32,607315,Song’ao
395,Sullivan,23,8,147055,Apóstoles
396,Bobwhite,4,28,976892,Orhei
397,Linden,541,68,806673,Outjo
398,Erie,715,22,343534,Kadujangkung
399,Arapahoe,402,100,482958,Ourinhos
400,Sauthoff,625,45,227998,Providencia
401,Arapahoe,383,97,343954,Wurno
402,Troy,452,81,175988,Gonghe
403,Laurel,616,65,255948,Saint-Marcellin
404,Oneill,432,14,113045,Florencia
405,3rd,713,20,507341,Lukovo
406,Hanson,185,24,277531,Aleksandrovskiy Zavod
407,Hoffman,391,65,423254,Ankazoabo
408,Talmadge,740,65,978627,Andrijaševci
409,Bartillon,487,98,691822,Kruty
410,Montana,299,89,291527,Xinjia
411,Leroy,314,94,759332,Cavadas
412,Chinook,695,72,131814,Orlu
413,Carpenter,419,75,705491,Woto
414,Kedzie,177,43,696253,Jayune
415,Nelson,174,8,212095,Dukoh
416,Mcguire,237,61,987438,Qidu
417,Pearson,61,60,362981,Hakha
418,Granby,756,60,720029,La Cruz de Río Grande
419,Butterfield,445,35,407439,Gulonggang
420,Grover,655,26,145779,Bijeli
421,Pankratz,16,31,299797,Madrid
422,Springs,40,64,676970,Pacar
423,Lotheville,639,82,959172,Vale
424,Summit,95,11,892847,Sukodono
425,Thierer,279,95,382907,Deqing
426,Jenifer,476,24,884116,Tanahmerah
427,Monica,317,88,662895,Nesterovskaya
428,Sauthoff,334,46,857258,Taliouine
429,Dennis,736,34,645100,Enshi
430,Cordelia,246,34,947453,Pingding
431,Beilfuss,752,94,844725,Cristóbal
432,Waxwing,554,98,853728,Zhuqi
433,Fair Oaks,8,84,450643,Sobhādero
434,Bobwhite,737,56,779470,Toritama
435,Knutson,41,26,642795,Savanna-la-Mar
436,Colorado,578,65,562837,Qingzhou
437,Novick,49,1,880495,Foxrock
438,Twin Pines,492,61,189727,Quốc Oai
439,Spohn,26,26,351685,Linghu
440,Arkansas,480,41,752919,Carcassonne
441,Columbus,516,28,630397,Ishikawa
442,Sachtjen,301,89,853987,Tlutup
443,Dennis,752,9,793061,Nuštar
444,Loeprich,125,97,344809,Laoxialu
445,Kensington,472,84,536127,Juru
446,Golden Leaf,454,48,411924,Peruíbe
447,Warrior,372,71,253777,Ranambeling
448,Armistice,362,30,548335,Prroshyan
449,Farwell,534,41,177078,Shajing
450,Carioca,533,2,346875,Salamá
451,Cody,660,2,354426,Desa Gegempalan
452,Crowley,260,49,676300,Rumelange
453,Valley Edge,329,43,556927,Yunxian Chengguanzhen
454,Memorial,105,34,864751,Yanjiang
455,Cascade,601,60,931895,Foúrnoi
456,Stoughton,229,9,663948,Póvoa
457,Loeprich,686,68,138991,Ndwedwe
458,Forest,53,87,709831,Wenceslao Escalante
459,Upham,387,58,335153,Ropa
460,Westend,402,31,749445,Nagorsk
461,Ilene,316,49,731475,Xiaoguwei
462,East,281,25,861823,Sobral da Abelheira
463,Sullivan,40,92,476079,Quitilipi
464,Stephen,12,97,790391,Ovidiopol’
465,Memorial,476,17,729238,Sovetskiy
466,Twin Pines,442,32,537798,Zhishan
467,Gale,305,92,618714,Brengkok
468,New Castle,603,31,555024,Sobontoro
469,Talisman,636,32,221650,Baru Timur
470,Basil,581,47,563639,Mangochi
471,Luster,184,97,747158,Santol
472,Lake View,398,51,407185,Sirdaryo
473,Rutledge,81,63,161173,Bajia
474,Debs,686,54,238776,Sundsvall
475,Cottonwood,144,81,662165,Zlataritsa
476,Main,336,44,573776,Oslo
477,Kennedy,339,44,731901,San Pedro de Macorís
478,Dakota,382,27,912903,Vallecillo
479,Heath,241,80,947839,Lárdos
480,Hayes,285,70,271756,San Vicente
481,Service,59,26,641090,Żernica
482,Basil,222,68,536051,Martyush
483,Hermina,270,21,662089,Ilandža
484,North,593,9,833587,Haquira
485,Thackeray,205,65,304987,Roma
486,Oak Valley,706,29,704099,Skärhamn
487,Mifflin,310,85,458656,Gantang
488,Lerdahl,711,18,395509,Shabel’skoye
489,Morrow,469,68,253027,Sandefjord
490,Cascade,646,18,376666,Chaves
491,Crescent Oaks,675,29,537170,Kostanay
492,Delladonna,249,21,148744,København
493,Victoria,282,27,655351,Karagach
494,Little Fleur,426,54,802105,Xiangyang
495,7th,1,24,686783,Gueset
496,Jana,401,41,949599,Malaruhatan
497,Dahle,667,56,315122,Jiyang
498,Susan,662,82,698395,Llalli
499,Mendota,557,11,163738,Eydhafushi
500,Lakewood,732,64,278588,Queluz de Baixo
501,Blaine,362,91,326383,Pasirmukti
502,Weeping Birch,461,89,646838,Takaishi
503,Elmside,116,5,652845,Barg-e Matāl
504,Veith,737,72,386803,Slobidka
505,Nobel,239,84,735015,Bairan
506,Westend,182,5,909594,Guruyan
507,Hoepker,453,71,807708,El Tabo
508,Russell,618,96,152891,Mikulášovice
509,Amoth,86,3,125949,Rambouillet
510,Warrior,408,55,895861,Gucheng
511,Sachtjen,250,61,690244,Houxi
512,Maywood,206,52,924829,Kattaqo’rg’on
513,Maple,395,13,760845,Nova Iguaçu
514,Dottie,288,5,259171,Villanueva
515,Ruskin,280,50,489095,Czemierniki
516,La Follette,70,64,804104,Sędziejowice
517,Texas,230,81,452009,Staropyshminsk
518,Scofield,615,18,354876,Portmore
519,Cascade,387,77,380548,Youxi
520,Dryden,380,100,940681,Aketi
521,Evergreen,19,56,811286,Kālābāgh
522,Ridgeview,328,34,750700,Capitán Bado
523,Crescent Oaks,184,13,615503,Daireaux
524,Miller,119,25,982585,Nikolina Gora
525,Summer Ridge,23,91,968195,Ryazhsk
526,International,735,35,576177,Dongmafang
527,Northridge,447,92,606537,Belogorsk
528,3rd,48,55,336450,Biguaçu
529,Golf Course,570,74,797055,Ljutomer
530,Artisan,450,23,703737,Baidoa
531,Transport,152,83,146630,Tambaú
532,Becker,204,6,882003,Houston
533,High Crossing,568,34,580928,Volksrust
534,Independence,454,71,786145,Celendín
535,Clemons,433,92,655070,Uralo-Kavkaz
536,Orin,422,52,596988,Phayakkhaphum Phisai
537,Fairview,370,21,598390,Zhambyl
538,Miller,637,12,233502,Kedungtuban
539,Garrison,589,59,666264,Orange
540,Eastlawn,561,48,810528,Saint-Quentin-en-Yvelines
541,Village Green,686,40,142032,Kloulklubed
542,6th,665,34,776438,Huangzhawan
543,Anthes,669,44,420804,Yangjia
544,Brentwood,260,5,788265,Ridderkerk
545,Hansons,231,59,591636,Kannus
546,Spenser,285,10,947822,Kwidzyn
547,Doe Crossing,447,44,195960,Ralung
548,Schurz,509,50,284430,Toba Tek Singh
549,Mendota,747,79,466089,Zwettl
550,Transport,465,42,946990,Mae Lao
551,Oak,38,29,649429,Rudolfov
552,Little Fleur,585,23,707380,James Craik
553,Anniversary,666,93,352813,Fresnes
554,Sheridan,321,49,450505,Kalilangan
555,Butternut,499,64,933279,Fonseca
556,Lakewood,66,30,847659,Sosnytsya
557,Debra,117,65,140522,Nianyushan
558,Karstens,549,83,123094,Chantilly
559,Fordem,497,16,191099,Sūrān
560,Basil,488,15,387981,Palilula
561,Orin,369,9,314814,Jargalant
562,Texas,535,95,594892,Chazón
563,Clemons,482,80,485473,Błonie
564,Hoffman,102,15,617347,Kastélli
565,Fairfield,716,15,931746,Washington
566,Merchant,527,77,582356,Yangxi
567,Lakewood Gardens,15,82,878099,Santa Magdalena
568,Straubel,117,97,373415,Hohhot
569,Merrick,137,6,165732,Pagatin
570,Holmberg,126,34,271314,Hexi
571,Park Meadow,494,46,451098,Trbovlje
572,Lien,662,37,568881,Sogcho
573,West,344,86,249129,Bralin
574,Ruskin,236,63,326423,Tran
575,Corscot,2,96,867256,Estacion
576,Canary,220,92,141464,Batiano
577,Cody,727,99,837051,Chyżne
578,Melvin,99,32,995995,San Mariano
579,Erie,163,46,777433,Iracemápolis
580,Surrey,45,55,963953,Gengwan
581,Crowley,33,24,590712,Sruki
582,Fairfield,119,11,343406,Krasnohrad
583,Linden,305,55,426351,Uvarovo
584,Hoepker,239,24,647772,Asahi
585,Helena,293,2,251320,Baroy
586,Judy,6,28,730357,Carandaí
587,Bluejay,8,71,294866,San Martín
588,Swallow,348,83,496199,Thessalon
589,Wayridge,756,55,162334,Gaborone
590,Blaine,762,94,139175,Dongtian
591,Petterle,741,94,400141,Bánov
592,Eastwood,296,100,321085,Parungjawa
593,Eastwood,410,45,784584,Cabusao
594,Hagan,330,41,653745,Donggang
595,Sycamore,579,90,705791,Jianqiao
596,Jay,646,9,314246,Lipnik
597,Goodland,284,7,682585,Tyresö
598,Butterfield,307,36,684260,Golčův Jeníkov
599,Charing Cross,73,5,785547,Shah Alam
600,Anhalt,479,46,120755,Xinmin
601,Randy,27,75,197508,Sapphaya
602,Bonner,68,63,955747,Songhu
603,Jenna,492,4,443328,Santa Rosa de Cabal
604,Spaight,312,81,448080,Wanquan
605,Cascade,170,71,861701,Åtvidaberg
606,Forest Dale,403,51,595732,Fotolívos
607,Mesta,118,78,519800,Ruyigi
608,Packers,556,90,197000,Vannes
609,Monterey,462,44,806431,Sakhnīn
610,Rusk,470,61,241336,Nässjö
611,Sunfield,67,71,731086,Malanay
612,Dovetail,610,49,997315,Münster
613,Warrior,569,64,193215,Avellaneda
614,Northfield,20,76,194550,Chapadinha
615,Homewood,405,13,277657,Kynopiástes
616,Sutteridge,148,23,201902,Bar-le-Duc
617,Algoma,520,2,311235,Sumberrejo
618,8th,452,59,838735,Vetluzhskiy
619,Dovetail,334,79,863554,Nakhon Phanom
620,Dawn,703,12,877224,Świętajno
621,Mallard,245,42,481931,Kommunisticheskiy
622,Ridge Oak,714,79,255342,Patrocínio
623,Clyde Gallagher,720,4,859861,Colima
624,Crowley,773,54,572445,Bagratashen
625,Merchant,94,65,952166,Anping
626,Jay,272,11,388250,Guashe
627,Dexter,133,3,691727,Boden
628,Hazelcrest,249,70,242008,Ituiutaba
629,Columbus,85,3,767794,Dongwan
630,Golf View,469,13,628870,Chivilcoy
631,Maple Wood,99,50,510701,Utrecht (stad)
632,Quincy,723,62,503551,Houjia
633,Straubel,238,15,144368,Lyubotyn
634,Washington,123,41,671915,Alingsås
635,Fairfield,713,78,679470,Kahama
636,Waywood,427,1,413591,Noramarg
637,Vera,560,42,126288,Peristerona
638,Grasskamp,85,71,454702,Saseel
639,Forest Dale,527,100,140247,Songzhuang
640,Derek,96,28,804835,Tqibuli
641,Ruskin,742,15,253288,Kola
642,Buhler,237,98,172745,Jilong
643,West,521,31,298372,Chiba
644,Haas,27,20,213673,Coruripe
645,Buell,479,92,806319,Petrich
646,Bunker Hill,142,64,724044,Jiapeng
647,Algoma,699,8,194472,Neebing
648,Loomis,494,88,774875,Cipaku
649,Stoughton,659,27,480001,Oslo
650,Nelson,194,83,706862,Lücheng
651,Harbort,734,72,925186,Duozhu
652,Alpine,137,23,575853,Orsha
653,Dwight,434,36,112667,Adiwerna
654,Artisan,696,70,863912,Temanjang
655,Dwight,192,13,940517,Carenang Lor
656,Fallview,639,64,698497,Falun
657,Comanche,134,88,744991,Lere
658,Anniversary,554,97,688002,Thị Trấn Cẩm Thủy
659,Manley,131,11,572025,Krajan Dua Dawuan Wetan
660,Spaight,333,17,539069,Yezhi
661,Division,483,67,812291,Fusagasuga
662,Prairie Rose,466,50,440021,Waajid
