usluga_id,nazwa_uslugi,cena_uslugi
66,Limonia L.,25
67,Downingia pulchella (Lindl.) Torr.,55
68,Picea glehnii (F. Schmidt) Mast.,10
69,Galium porrigens Dempster var. porrigens,30
70,Agastache cusickii (Greenm.) A. Heller,30
71,Coelorachis tuberculosa (Nash) Nash,50
72,Astragalus newberryi A. Gray var. aquarii Isely,10
73,Astragalus canadensis L. var. canadensis,50
74,Garcinia L.,25
75,Dianthus seguieri Villemorin,5
76,Physcia stellaris (L.) Nyl.,50
77,Calydorea coelestina (W. Bartram) Goldblatt & Henrich,30
78,Townsendia strigosa Nutt.,55
79,Cephalanthus salicifolius Humb. & Bonpl.,10
80,Penstemon barnebyi N.H. Holmgren,55
81,Geocarpon minimum Mack.,55
82,Salvia officinalis L.,100
83,Ranunculus hispidus Michx. var. nitidus (Chapm.) T. Duncan,10
84,Lichenothelia intermixta Henssen,10
85,Astragalus insularis Kellogg,10
86,Graphis Adans.,30
87,Pyxidanthera Michx.,50
88,Agalinis paupercula (A. Gray) Britton var. borealis Pennell,100
89,Anagallis L.,5
90,Cupressus L.,50
91,Clarkia breweri (A. Gray) Greene,10
92,Scirpus longii Fernald,10
93,Thelypteris nevadensis (Baker) Clute ex Morton,50
94,Bergenia Moench,5
95,Scutellaria ovata Hill ssp. mexicana Epling,5
96,Symphyotrichum frondosum (Nutt.) G.L. Nesom,55
97,Podostemum Michx.,30
98,Leochilus puertoricensis M.W. Chase,30
99,Physcia caesia (Hoffm.) Furnr.,100
100,Bromus polyanthus Scribn. ex Shear var. polyanthus,100
101,Tetramolopium arenarium (A. Gray) Hillebr. ssp. laxum Lowrey,30
102,Anema dodgei Herre,100
103,Aeschynomene histrix Poir. var. incana (Vogel) Benth.,30
104,Burmannia L.,55
105,Chrysothamnus Nutt.,30
106,Parietaria judaica L.,30
107,Viola lanceolata L. ssp. vittata (Greene) N.H. Russell,30
108,Beta trojana A. Pamukc. ex Aellen,25
109,Phlox L.,10
110,Xylosma flexuosa (Kunth) Hemsl.,25
111,Oenothera neomexicana (Small) Munz,10
112,Platanthera ×correllii Schrenk,100
113,Dichanthelium depauperatum (Muhl.) Gould,100
114,Tortella arctica (Arnell) Crundw. & Nyholm,5
115,Carex L.,5
116,Gentiana plurisetosa C.T. Mason,25
117,Giliastrum incisum (Benth.) J.M. Porter,100
118,Lomatium packardiae Cronquist,100
119,Chamaesyce kuwaleana (O. Deg. & Sherff) O. Deg. & I. Deg.,55
120,Caloplaca peliophylla (Tuck.) Zahlbr.,30
121,Trifolium longipes Nutt. ssp. hansenii (Greene) J.M. Gillett,30
122,Lepidium ramosissimum A. Nelson,100
123,Schizachyrium scoparium (Michx.) Nash var. scoparium,30
124,Ruta graveolens L.,55
125,Astragalus missouriensis Nutt.,25
126,Orthotrichum pallens Bruch ex Brid. var. johnsenae Vitt,10
127,Digitaria ciliaris (Retz.) Koeler,55
128,Euclasta condylotricha (Hochst. ex Steud.) Stapf,100
129,Triteleia hendersonii Greene var. hendersonii,5
130,Sidalcea asprella Greene,30
131,Ctenitis latifrons (Brack.) Copeland,10
132,Ivesia longibracteata Ertter,10
133,Valerianella ozarkana Dyal,55
134,Cordylanthus pilosus A. Gray ssp. pilosus,10
135,Kaempferia galanga L.,25
136,Dryas ×sundermannii Kellerer ex Sundermann,100
137,Ranunculus abortivus L.,25
138,Psychotria uliginosa Sw.,5
139,Cladium P. Br.,10
140,Ranunculus inamoenus Greene var. inamoenus,50
141,Ribes triste Pall.,50
142,Pseudognaphalium domingense (Lam.) Anderb.,25
143,Setaria pumila (Poir.) Roem. & Schult. ssp. pumila,50
144,Crotalaria alata Buch.-Ham. ex D. Don,5
145,Lotus argyraeus (Greene) Greene var. argyraeus,100
146,Sphaerophorus Pers.,30
147,Cenchrus biflorus Roxb.,30
148,Sedum stenopetalum Pursh,100
149,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. sonomense (Greene) Rehder,5
150,Cladonia multiformis G. Merr.,30
151,Crepis runcinata (James) Torr. & A. Gray ssp. runcinata,50
152,Commelina benghalensis L.,55
153,Canavalia virosa (Roxb.) Wight & Arn.,25
154,Chamaedorea costaricana Oerst.,5
155,Parietaria praetermissa Hinton,50
156,Quercus serrata Thunb.,55
157,Hesperolinon adenophyllum (A. Gray) Small,30
158,Arctostaphylos luciana P.V. Wells,50
159,Phemeranthus Raf.,100
160,Erodium brachycarpum (Godr.) Thell.,100
161,Aquilegia laramiensis A. Nelson,10
162,Carex ×olneyi Boott,30
163,Henrya insularis Nees ex Benth.,50
164,Plagiothecium undulatum (Hedw.) Schimp.,50
165,Viburnum farreri Stearn,50
166,Agalinis homalantha Pennell,10
167,Collinsia heterophylla Buist ex Graham var. heterophylla,100
168,Calceolaria L.,25
169,Erica arborea L.,55
170,Eriastrum eremicum (Jeps.) H. Mason ssp. eremicum,25
171,Cardamine pachystigma (S. Watson) Rollins var. pachystigma,55
172,Pyrenopsis grumulifera Nyl.,5
173,Eleocharis compressa Sull.,55
174,Thymophylla pentachaeta (DC.) Small var. belenidium (DC.) Strother,30
175,Cyclospermum Lag.,10
176,Epidendrum anceps Jacq.,55
177,Rosa moschata J. Herrm.,55
178,Salix monochroma C.R. Ball,55
179,Triphysaria versicolor Fisch. & C.A. Mey. ssp. versicolor,10
180,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,30
181,Ahtiana Goward,30
182,Panicum brachyanthum Steud.,25
183,Crepis pulchra L.,55
184,Muhlenbergia villiflora Hitchc.,55
185,Plantago elongata Pursh ssp. pentasperma Bassett,25
186,Rhinanthus serotinus (Schönh) Oborny,25
187,Psoralidium lanceolatum (Pursh) Rydb.,25
188,Letrouitia vulpina (Tuck.) Hafellner & Bellem.,10
189,Adiantum macrophyllum Sw.,55
190,Galium obtusum Bigelow,30
191,Lupinus excubitus M.E. Jones var. excubitus,10
192,Sarcobatus Nees,100
193,Zingiber Mill.,50
194,Cryptantha subcapitata Dorn & Lichvar,50
195,Aeschynomene falcata (Poir.) DC.,5
196,Packera millelobata (Rydb.) W.A. Weber & Á. Löve,100
197,Ammannia auriculata Willd.,30
198,Zornia reticulata Sm.,100
199,Ligusticum porteri J.M. Coult. & Rose,50
200,Lepidospartum squamatum (A. Gray) A. Gray,55
201,Stylomecon heterophylla (Benth.) G. Taylor,100
202,Krapovickasia physaloides (C. Presl) Fryxell,100
203,Scleria pauciflora Muhl. ex Willd. var. pauciflora,30
204,Candelariella citrina de Lesd.,55
205,Pisum L.,30
206,Scirpus longii Fernald,50
207,Warnstorfia trichophylla (Warnst.) Tuom. & T. Kop.,10
208,Paronychia virginica Spreng.,5
209,Dermatocarpon moulinsii (Mont.) Zahlbr.,5
210,Melanelia subargentifera (Nyl.) Essl.,55
211,Eriogonum robustum Greene,5
212,Lupinus pusillus Pursh,25
213,Ocellularia stictidea (Nyl.) Vezda,25
214,Cissus repens Lam.,10
215,Cyrtandra limahuliensis H. St. John,30
216,Rhodobryum ontariense (Kindb.) Par.,100
217,Spermacoce prostrata Aubl.,10
218,Salix ×rubella Bebb,10
219,Polygonum scandens L.,100
220,Thelypteris interrupta (Willd.) K. Iwats.,55
221,Agalinis maritima (Raf.) Raf.,5
222,Crataegus dodgei Ashe,50
223,Philonotis uncinata (Schwägr.) Brid.,10
224,Collinsia Nutt.,25
225,Solidago hispida Muhl. ex Willd.,50
226,Dalea versicolor Zucc. var. versicolor,50
227,Iris verna L. var. smalliana Fernald ex M.E. Edwards,30
228,Sorbus aucuparia L.,5
229,Aspicilia narssaquensis (Lynge) J.W. Thomson,10
230,Allium obtusum Lemmon var. conspicuum Mortola & McNeal,30
231,Astragalus clarianus Jeps.,30
232,Hieracium scabrum Michx. var. scabrum,55
233,Thelypteris reticulata (L.) Proctor,30
234,Hedeoma pulegioides (L.) Pers.,10
235,Trema orientalis (L.) Blume,30
236,Alstonia macrophylla Wall. ex G. Don,30
237,Ranunculus pedatifidus Sm. var. affinis (R. Br.) L.D. Benson,25
238,Castalis Cass.,50
239,Arctostaphylos stanfordiana Parry,10
240,Tortula laevipila (Brid.) Schwägr. var. meridionalis (Schimp.) Wijk & Margad.,5
241,Lesquerella kingii S. Watson ssp. kingii var. cobrensis Rollins & Shaw,25
242,Astragalus crotalariae (Benth.) A. Gray,50
243,Trillium ovatum Pursh ssp. ovatum,10
244,Monarda punctata L. ssp. immaculata Pennell,25
245,Coprosma waimeae Wawra,25
246,Funtumia elastica (Preuss) Stapf,5
247,Chenopodium bonus-henricus L.,5
248,Lupinus latifolius Lindl. ex J. Agardh ssp. longipes (Greene) Kenney & D. Dunn,30
249,Arctagrostis latifolia (R. Br.) Griseb.,55
250,Stevia salicifolia Cav.,55
251,Lysimachia punctata L.,55
252,×Citroncirus webberi J.W. Ingram & H.E. Moore,100
253,Houstonia pusilla Schoepf,25
254,Callicarpa ampla Schauer,100
255,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. mollis (Douglas ex Hook.) W.H. Brewer,10
256,Menodora spinescens A. Gray,55
257,Lotus argophyllus (A. Gray) Greene,5
258,Eriogonum fusiforme Small,5
259,Phlox colubrina Wherry & Constance,55
260,Townsendia annua Beaman,30
261,Chorizanthe parryi S. Watson var. parryi,30
262,Brickellia eupatorioides (L.) Shinners var. corymbulosa (Torr. & A. Gray) Shinners,25
263,Mangifera indica L.,55
264,Astragalus egglestonii (Rydb.) Kearney & Peebles,50
265,Eryngium pendletonensis K.L. Marsden & M.G. Simpson,25
266,Ctenidium molluscum (Hedw.) Mitt.,100
267,Crataegus L.,100
268,"Piptatheropsis shoshoneana (Curto & Douglass M. Hend.) Romasch., P.M. Peterson & R.J. Soreng",55
269,Carex haydenii Dewey,50
270,Penstemon pahutensis N.H. Holmgren,50
271,Cynoglossum furcatum Wall. ex Roxb.,50
272,Cyanea lobata H. Mann ssp. lobata,5
273,Gentiana platypetala Griseb.,30
274,Leucothoe axillaris (Lam.) D. Don,5
275,Ziziphus obtusifolia (Hook. ex Torr. & A. Gray) A. Gray var. obtusifolia,55
276,Downingia ornatissima Greene var. eximia (Hoover) McVaugh,10
277,Thelypodium integrifolium (Nutt.) Endl. ex Walp. ssp. complanatum Al-Shehbaz,25
278,Calibrachoa Llave & Lex.,30
279,Oenothera caespitosa Nutt. ssp. caespitosa,100
280,Medicago orbicularis (L.) Bartal.,5
281,Fraxinus caroliniana Mill.,55
282,Mucronea perfoliata (A. Gray) A. Heller,55
283,Gossypium hirsutum L.,25
284,Polygonum sachalinense F. Schmidt ex Maxim.,25
285,Plagiomnium cuspidatum (Hedw.) T. Kop.,30
286,Lycianthes asarifolia (Kunth & Bouché) Bitter,10
287,Sporopodium Mont.,5
288,Dubautia knudsenii Hillebr. ssp. knudsenii,5
289,Salvia dorrii (Kellogg) Abrams ssp. dorrii var. clokeyi Strachan,100
290,Solanum demissum Lindl.,5
291,Eriogonum helichrysoides (Gandog.) Rydb.,55
292,Peperomia eekana C. DC.,10
293,Tetragonotheca helianthoides L.,30
294,Rhizophora mangle L.,30
295,Linaria purpurea (L.) Mill.,25
296,Lappula Moench,25
297,Cymopterus acaulis (Pursh) Raf. var. higginsii (S.L. Welsh) Goodrich,30
298,Isocoma acradenia (Greene) Greene var. eremophila (Greene) G.L. Nesom,30
299,Cyphelium brunneum W.A. Weber,25
300,Lachnocaulon engleri Ruhl.,30
301,Eriastrum harwoodii (T.T. Craig) D. Gowen,55
302,Astragalus pinonis M.E. Jones var. pinonis,30
303,Minuartia muscorum (Fassett) Rabeler,50
304,Stenochlaena tenuifolia (Desv.) T. Moore,50
305,Polypodium pellucidum Kaulf.,50
306,Astragalus whitneyi A. Gray var. lenophyllus (Rydb.) Barneby,100
307,Solanum carolinense L. var. floridanum (Shuttlw. ex Dunal) Chapm.,5
308,Trichoneura Andersson,25
309,Ericameria ×bolanderi (A. Gray) G.L. Nesom & Baird,25
310,Mentzelia pumila Nutt. ex Torr. & A. Gray var. lagarosa Thorne,30
311,Calochortus plummerae Greene,30
312,Leptosiphon rattanii (A. Gray) J.M. Porter & L.A. Johnson,100
313,Camissonia specuicola (P.H. Raven) P.H. Raven ssp. specuicola,100
314,Acarospora badiofusca (Nyl.) Th. Fr.,10
315,Muhlenbergia ×curtisetosa (Scribn.) Bush (pro sp.),55
316,Juncus dichotomus Elliott,10
317,Carex lenticularis Michx. var. lenticularis,30
318,Macrocoma (Hornsch. ex Müll. Hal.) Grout,10
319,Solorina saccata (L.) Ach.,100
320,Bactris gasipaes Kunth,10
321,Salix repens L.,5
322,Castela erecta Turp.,55
323,Cirsium arizonicum (A. Gray) Petr.,100
324,Lecidea auriculata Th. Fr.,100
325,Perityle staurophylla (Barneby) Shinners var. homoflora T.K. Todsen,25
326,Kosteletzkya virginica (L.) C. Presl ex A. Gray,25
327,Ranunculus arvensis L.,25
328,Ericameria ericoides (Less.) Jeps.,55
329,Stachys stebbinsii G. Mulligan & D. Munro,10
330,Thymophylla pentachaeta (DC.) Small var. puberula (Rydb.) Strother,10
331,Henriettea squamulosum (Cogn.) W.S. Judd,100
332,Prosthechea cochleata (L.) W.E. Higgins,30
333,Potentilla flabellifolia Hook. ex Torr. & A. Gray,5
334,Aegilops bicornis (Forssk.) Jaub. & Spach,50
335,Hymenachne P. Beauv.,30
336,Hohenbergia Schult. ex Schult. & Schult. f.,5
337,Syringa pekinensis Rupr.,30
338,Eragrostis polytricha Nees,5
339,Pfaffia grandiflora (Hook.) R.E. Fries,100
340,Ariocarpus fissuratus (Engelm.) K. Schum.,55
341,Caulostramina Rollins,10
342,Eriogonum nealleyi J.M. Coult.,100
343,Solidago patula Muhl. ex Willd.,10
344,Polygonum oxyspermum C.A. Mey. & Bunge ex Ledeb.,100
345,Hygrophila R. Br.,30
346,Githopsis diffusa A. Gray ssp. filicaulis (Ewan) Morin,100
347,Serianthes nelsonii Merr.,55
348,Parietaria pensylvanica Muhl. ex Willd.,30
349,Draba ramosissima Desv.,100
350,Juniperus communis L. var. charlottensis R.P. Adams,50
351,Isoetes tuckermanii A. Braun,50
352,Rumex lapponicus (Hiitonen) Czern.,10
353,Dalea pinnata (J.F. Gmel.) Barneby,10
354,Rubus nivalis Douglas ex Hook.,50
355,Lonicera dioica L.,10
356,Hookeria Sm.,55
357,Heliopsis helianthoides (L.) Sweet var. gracilis (Nutt.) Gandhi & R.D. Thomas,10
358,Cotyledon L.,100
359,Platyschkuhria Rydb.,30
360,Streptosolen Miers,25
361,Platonia esculenta (Arruda) Rickett & Stafleu,55
362,Bryonora curvescens (Mudd) Poelt,55
363,Astragalus misellus S. Watson var. pauper Barneby,10
364,Stylogyne lateriflora (Sw.) Mez,5
365,Prosopis cineraria (L.) Druce,30
366,Nothoscordum gracile (Aiton) Stearn,50
367,Myrinia pulvinata (Wahlenb.) Schimp.,100
368,Encyclia isochila (Rchb. f.) D. Dod,55
369,Schistidium rivulare (Brid.) Podp.,30
370,Psychotria mariniana (Cham. & Schltdl.) Fosberg,5
371,Kigelia DC.,55
372,Helianthella californica A. Gray ssp. californica,10
373,Ailanthus Desf.,50
374,Scybalium jamaicense (Sw.) Schott & Endl.,55
375,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. fimbriatum W.L. Theobald,25
376,Helminthostachys Kaulf.,30
377,Botrychium robustum Rupr.,55
378,Mimosa distachya Cav.,25
379,Saxifraga tenuis (Wahlenb.) H. Sm. ex Lindm.,5
380,Crassula helmsii A. Berger,30
381,Bunchosia glandulifera (Jacq.) Kunth,100
382,Cyanea procera Hillebr.,100
383,Senecio inaequidens DC.,5
384,Erigeron tenuis Torr. & A. Gray,25
385,Silphium terebinthinaceum Jacq. var. terebinthinaceum,5
386,Cheilanthes viscida Davenport,50
387,Balsamorhiza hookeri (Hook.) Nutt. var. lagocephala (Sharp) Cronquist,100
388,Acarospora saepincola H. Magn.,50
389,Filago L.,55
390,Symphyotrichum praealtum (Poir.) G.L. Nesom var. praealtum,5
391,Sarcogyne dakotensis H. Magn.,100
392,Peperomia hypoleuca Miq.,100
393,Allium ampeloprasum L.,5
394,Selinum L.,50
395,Malvella sagittifolia (A. Gray) Fryxell,5
396,Portulaca amilis Speg.,25
397,Melissa L.,100
398,Allium bisceptrum S. Watson var. palmeri (S. Watson) Cronquist,5
399,Aloina aloides (Koch ex Schultz) Kindb. var. ambigua (Bruch & Schimp.) Craig,5
400,Asclepias hallii A. Gray,30
401,Nicotiana quadrivalvis Pursh var. quadrivalvis,10
402,Stenogyne kealiae Wawra,5
403,Vicia pulchella Kunth,10
404,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. munzii (Parish) Pierce & Fosberg,50
405,Equisetum telmateia Ehrh. var. braunii (Milde) Milde,55
406,Gossypianthus lanuginosus (Poir.) Moq. var. lanuginosus,100
407,Pilophorus clavatus Th. Fr.,25
408,Linanthus dianthiflorus (Benth.) Greene,25
409,Tridens muticus (Torr.) Nash var. muticus,5
410,Lecidella patavina (A. Massal.) Knoph & Leuckert,25
411,Uvularia L.,30
412,Panicum gattingeri Nash,55
413,Noronhia (Stadmam) Thouars,10
414,Carex fissa Mack. var. fissa,25
415,Festuca brachyphylla Schult. ex Schult. & Schult. f.,50
416,Utricularia geminiscapa Benj.,10
417,Malus tschonoskii (Maxim.) C.K. Schneid.,100
418,Claytonia washingtoniana (Suksd.) Suksd.,100
419,Ruellia pedunculata Torr. ex A. Gray ssp. pinetorum (Fernald) R.W. Long,50
420,Sphagnum fimbriatum Wilson,50
421,Carex atrata L.,25
422,Phegopteris hexagonoptera (Michx.) Fée,10
423,Elaphoglossum pellucidum Gaudich.,10
424,Escallonia rubra (Ruiz & Pav.) Pers. var. macrantha (Hook. & Arn.) Reiche,10
425,Crepis acuminata Nutt.,100
426,Arthonia subminutula Nyl.,100
427,Solidago guiradonis A. Gray,25
428,Orbexilum macrophyllum (Rowlee) Rydb.,55
429,Dodecatheon jeffreyi Van Houtte ssp. pygmaeum (H.M. Hall) H.J. Thomp.,50
430,Phacelia inconspicua Greene,55
431,Linanthus bellus (A. Gray) Greene,5
432,Hoffmannseggia glauca (Ortega) Eifert,25
433,Eucalyptus marginata Donn ex Sm.,5
434,Salvia texana (Scheele) Torr.,25
435,Shoshonea Evert & Constance,30
436,Dicranum Hedw.,10
437,Pseudognaphalium sandwicensium (Gaudich.) Anderb. var. molokaiense (O. Deg. & Sherff) W.L. Wagner,55
438,Triplasis purpurea (Walter) Chapm.,55
439,Cercidiphyllum japonicum Siebold & Zucc.,30
440,Atriplex corrugata S. Watson,10
441,Dioscorea floridana Bartlett,55
442,Limosella acaulis Sessé & Moc.,100
443,Arenaria macradenia S. Watson,100
444,Daniellia thurifera Benn.,5
445,Cladium P. Br.,30
446,Xyris difformis Chapm.,100
447,Clerodendrum ×speciosum Dombrain,100
448,Indigofera arrecta Hochst. ex A. Rich.,10
449,Philonotis glaucescens (Hornsch.) Broth.,100
450,Liatris virgata Nutt.,10
451,Malephora N.E. Br.,25
452,Ticanto Adans.,30
453,Syzygium P. Br. ex Gaertn.,5
454,Philoxerus R. Br.,50
455,Lupinus angustiflorus Eastw.,25
456,Polianthes tuberosa L.,10
457,Abronia bigelovii Heimerl,55
458,Muhlenbergia arsenei Hitchc.,30
459,Krigia biflora (Walter) S.F. Blake var. biflora,50
460,Lachnocaulon digynum Koern.,30
461,Alectoria sarmentosa (Ach.) Ach.,50
462,Ipomopsis congesta (Hook.) V.E. Grant ssp. nevadensis (Tidestr.) Kartesz & Gandhi,50
463,Lepidium L.,25
464,Heteranthera mexicana S. Watson,5
465,Mitracarpus maxwelliae Britton & P. Wilson,50
466,Bouteloua trifida Thurb. var. trifida,25
467,Hebe ×franciscana (Eastw.) Souster,55
468,Smilax herbacea L.,5
469,Dudleya abramsii Rose ssp. abramsii,25
470,"Ludwigia brevipes (B.H. Long ex Britton, A. Braun & Small) Eames",50
471,Usnea cavernosa Tuck.,10
472,Croton poecilanthus Urb.,100
473,Pyrenula confoederata R.C. Harris,10
474,Buellia imshaugii Hafellner,50
475,Sida lindheimeri Engelm. & A. Gray,25
476,Orthotrichum flowersii Vitt,30
477,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. cusickii (Fernald) C.L. Hitchc.,50
478,Escobaria alversonii (J.M. Coult.) N.P. Taylor,5
479,Nashia Millsp.,100
480,Tonella floribunda A. Gray,10
481,Vaccinium scoparium Leiberg ex Coville,55
482,Diellia pallida W.H. Wagner,50
483,Sherardia L.,10
484,Astragalus humistratus A. Gray var. hosackiae (Greene) M.E. Jones,55
485,Furcraea tuberosa (Mill.) W.T. Aiton,30
486,Lecanora gyalectodes Nyl.,100
487,Gayophytum humile Juss.,50
488,Astragalus beckwithii Torr. & A. Gray var. purpureus M.E. Jones,5
489,Aspicilia nikrapensis Darbish.,10
490,Crepis atribarba A. Heller,50
491,Dialium guineense Willd.,50
492,Cardamine parviflora L. var. arenicola (Britton) O.E. Schulz,30
493,Cicendia quadrangularis (Lam.) Griseb.,50
494,Dillenia ovata Wall. ex Hook. f. & Thomson,10
495,Abutilon menziesii Seem.,55
496,Colubrina californica I.M. Johnst.,55
497,Commelina rufipes Seubert,5
498,Cayratia trifolia (L.) Domin,50
499,Lesquerella kaibabensis Rollins,5
500,Agave atrovirens Karw. ex Salm-Dyck,10
501,Eremopyrum bonaepartis (Spreng.) Nevski,50
502,Lupinus sericeus Pursh ssp. sericeus,50
503,Astragalus beathii Ced. Porter,30
504,Kalopanax septemlobus (Thunb.) Koidz,50
505,Eriogonum umbellatum Torr. var. modocense (Greene) S. Stokes,50
506,Eriogonum umbellatum Torr. var. torreyanum (A. Gray) M.E. Jones,25
507,Echinacea purpurea (L.) Moench,50
508,Mimulus gemmiparus W.A. Weber,10
509,Nymphaea elegans Hook.,30
510,Collema callibotrys Tuck.,100
511,Aristida gyrans Chapm.,10
512,Sansevieria roxburghiana Schult. & Schult. f.,55
513,Diapensia lapponica L. var. lapponica,55
514,Digitaria californica (Benth.) Henr.,5
515,Reynosia uncinata Urb.,25
516,Arctagrostis latifolia (R. Br.) Griseb. ssp. arundinacea (Trin.) Tzvelev,30
517,Anthurium andraeanum Linden,10
518,Physaria alpina Rollins,100
519,Pharus parvifolius Nash,100
520,Plantago heterophylla Nutt.,100
521,Betula occidentalis Hook.,10
522,Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,50
523,Calamagrostis koelerioides Vasey,100
524,Fimbristylis littoralis Gaudich.,10
525,Oenothera xylocarpa Coville,10
526,Oldenlandia lancifolia (Schumach.) DC.,55
527,Eucalyptus goniocalyx F. Muell. ex Miq.,50
528,Seymeria pectinata Pursh ssp. peninsularis (Pennell) Pennell,30
529,Dittrichia graveolens (L.) Greuter,50
530,Amelanchier laevis Wiegand,55
531,Hypocenomyce scalaris (Ach. ex Lilj.) M. Choisy,25
532,Brugmansia sanguinea (Ruiz & Pav.) D. Don,30
533,Begonia decandra Pav. ex A. DC.,100
534,Stuckenia ×suecica (K. Richt.) Holub,10
535,Pseudoscleropodium (Limpr.) Fleisch.,100
536,Lomatium juniperinum (M.E. Jones) J.M. Coult. & Rose,30
537,Helenium elegans DC. var. elegans,5
538,Arthothelium orbilliferum (Almq.) Hasse,55
539,Cypripedium parviflorum Salisb. var. parviflorum,55
540,Pachyrhizus ahipa (Wedd.) L. Parodi,50
541,Veronicastrum Heist. ex Fabr.,100
542,Orobanche californica Cham. & Schltdl.,50
543,Crepis atribarba A. Heller ssp. originalis (Babc. & Stebbins) Babc. & Stebbins,50
544,Ruellia pedunculata Torr. ex A. Gray ssp. pinetorum (Fernald) R.W. Long,5
545,Achillea millefolium L. var. alpicola (Rydb.) Garrett,55
546,Pseudophoenix sargentii H. Wendl. ex Sarg.,55
547,Coenogonium implexum Nyl.,10
548,Andropogon hallii Hack.,50
549,Lantana strigosa (Griseb.) Urb.,10
550,Mentzelia humilis (A. Gray) J. Darl. var. guadalupensis Spellenb.,50
551,Botrychium lanceolatum (S.G. Gmel.) Angstr. var. angustisegmentum Pease & A.H. Moore,50
552,Sinosenecio newcombei (Greene) J.P. Janovec & T.M. Barkley,100
553,Juncus pelocarpus E. Mey.,10
554,Polystichum microchlamys (Christ) Matsum.,25
555,Phlox nivalis Lodd. ex Sweet ssp. texensis Lundell,25
556,Mandevilla brachysiphon (Torr.) Pichon,50
557,Quercus grisea Liebm.,10
558,Crataegus crus-galli L.,55
559,Teloschistes contortuplicatus (Ach.) Clauzade & Rondon ex Vezda,10
560,Condalia globosa I.M. Johnst.,5
561,Fryxellia D.M. Bates,30
