wizyta_id,data_wizyty,pracownik_id,rezerwacja_id,kosmetyki_id,sprzet_id,platnosci_id
123,20-Jun-2018,704,318,362,484,154
124,24-Jul-2020,500,935,844,607,595
125,22-Jan-2022,805,756,974,4,334
126,22-Sep-2018,22,816,800,136,162
127,10-Apr-2018,600,418,579,38,524
128,30-Jan-2021,704,287,251,709,683
129,07-Mar-2018,352,776,168,186,821
130,30-Apr-2018,24,126,562,819,598
131,20-Apr-2018,248,50,113,73,872
132,01-Apr-2022,438,36,334,887,937
133,11-Aug-2019,877,989,338,762,374
134,25-Aug-2019,530,214,392,470,324
135,30-Aug-2018,964,364,736,866,85
136,06-Mar-2021,355,883,173,901,630
137,15-May-2019,324,279,802,791,728
138,23-Dec-2018,574,540,869,107,236
139,13-Oct-2018,331,574,803,262,259
140,19-Mar-2019,65,332,780,493,427
141,20-Mar-2022,249,776,838,818,25
142,22-Dec-2018,974,946,590,169,719
143,16-Aug-2018,170,825,701,243,965
144,09-Mar-2022,46,234,381,316,769
145,31-Mar-2018,366,825,235,282,925
146,20-Mar-2020,227,848,246,993,809
147,16-Jan-2018,529,719,15,491,901
148,21-Jul-2021,234,436,794,218,813
149,16-Oct-2019,536,887,646,904,792
150,22-Nov-2019,264,443,730,539,670
151,08-Dec-2021,412,747,77,589,40
152,04-Nov-2018,414,912,395,999,683
153,01-Jun-2018,490,79,829,90,238
154,24-May-2020,493,443,602,715,778
155,09-Mar-2022,330,353,102,557,998
156,30-Nov-2021,51,649,185,174,759
157,23-Jul-2019,582,162,835,284,595
158,19-Dec-2020,414,670,83,349,986
159,13-Dec-2018,944,170,802,685,531
160,22-Mar-2022,915,45,872,241,446
161,20-Oct-2020,301,494,917,95,186
162,18-Jan-2019,225,30,419,582,394
163,08-Mar-2020,697,216,392,83,879
164,28-Oct-2018,393,756,199,436,968
165,06-Apr-2021,134,708,724,1,578
166,15-Aug-2019,693,384,710,369,378
167,09-Jan-2020,758,473,379,35,382
168,28-Aug-2019,387,184,71,965,905
169,16-Oct-2020,722,232,947,72,639
170,02-Apr-2020,832,586,515,230,181
171,04-Sep-2021,386,723,406,873,373
172,23-Sep-2019,646,315,845,14,860
173,15-Feb-2018,708,995,357,108,485
174,08-Jan-2020,268,91,103,67,103
175,17-Nov-2018,120,34,293,702,210
176,25-Dec-2021,198,199,741,699,192
177,03-Feb-2022,149,73,458,235,301
178,26-Feb-2019,787,999,962,397,910
179,10-Apr-2021,966,844,864,290,187
180,10-Oct-2018,297,236,749,268,486
181,24-Aug-2021,713,382,633,601,412
182,11-Jul-2019,836,791,807,80,843
183,02-May-2020,123,777,378,172,885
184,14-Dec-2020,589,218,364,975,993
185,03-Dec-2020,794,126,771,113,423
186,20-Oct-2019,348,331,283,461,491
187,09-Apr-2018,822,325,157,151,559
188,15-Apr-2019,127,299,378,557,269
189,11-Nov-2018,40,943,959,354,664
190,10-Jul-2021,278,852,831,216,354
191,26-Jun-2019,500,295,465,652,218
192,20-Sep-2019,26,180,791,942,13
193,06-Sep-2018,620,729,428,922,125
194,17-Feb-2020,146,937,304,13,629
195,30-Nov-2020,546,867,676,740,822
196,25-May-2022,332,416,638,87,424
197,03-Sep-2021,334,671,231,696,348
198,02-Jan-2019,253,621,667,357,943
199,25-May-2021,445,753,75,324,376
200,10-Aug-2020,154,115,45,220,455
201,29-Dec-2018,664,704,312,150,637
202,20-Jan-2020,595,943,320,572,390
203,02-Apr-2018,819,479,652,908,800
204,12-Mar-2020,715,287,960,211,12
205,23-Jul-2018,684,680,796,296,16
206,02-Mar-2018,43,694,640,901,139
207,17-Dec-2021,294,750,1,35,145
208,02-Jun-2020,96,691,863,787,766
209,07-Feb-2022,200,484,662,533,984
210,27-Apr-2019,302,599,141,942,236
211,18-Oct-2018,70,882,947,235,58
212,21-Apr-2021,142,133,775,47,72
213,26-Jun-2018,854,75,514,419,111
214,27-Oct-2019,816,629,808,626,880
215,11-Feb-2021,759,296,140,297,794
216,01-Sep-2020,129,552,170,578,233
217,17-Dec-2021,365,248,874,834,427
218,24-Sep-2018,558,685,201,636,389
219,10-Nov-2021,501,210,331,716,119
220,02-May-2020,461,807,775,867,148
221,26-Dec-2018,339,513,883,938,919
222,01-Feb-2018,509,764,471,600,961
223,06-Mar-2018,518,909,92,577,300
224,24-Sep-2020,890,37,985,667,199
225,19-Jun-2018,222,339,302,189,717
226,17-Jan-2018,942,652,10,301,360
227,20-Aug-2021,83,913,458,842,804
228,28-Jun-2020,635,653,897,260,948
229,07-Aug-2018,372,661,54,420,461
230,15-Feb-2018,741,939,158,838,227
231,27-Jun-2018,846,355,942,580,393
232,19-Mar-2020,317,124,845,727,677
233,11-May-2018,577,367,439,364,508
234,02-Feb-2020,923,646,591,429,348
235,19-Jul-2021,157,115,768,825,858
236,14-Jan-2019,744,306,73,377,656
237,27-Apr-2022,794,835,231,382,162
238,12-Mar-2021,735,433,342,900,370
239,15-Nov-2018,234,699,986,707,676
240,25-Nov-2021,247,331,966,350,140
241,05-Feb-2019,137,380,550,509,154
242,11-Jan-2020,139,357,448,831,492
243,28-Mar-2021,390,371,4,469,843
244,24-May-2019,217,1000,822,519,606
245,02-May-2021,747,253,456,357,366
246,23-Apr-2021,840,120,631,610,152
247,04-Jul-2019,360,40,994,220,981
248,03-Oct-2019,142,129,985,542,718
249,12-Jan-2019,757,538,399,480,770
250,15-Aug-2021,20,540,471,440,841
251,31-Mar-2018,89,600,856,761,895
252,08-Apr-2019,950,267,859,405,239
253,22-Dec-2020,927,460,648,558,438
254,08-May-2019,969,310,333,750,945
255,15-Sep-2020,667,248,41,7,20
256,23-May-2022,737,33,527,660,256
257,09-Aug-2019,552,542,587,186,140
258,15-Dec-2020,475,722,656,787,916
259,16-Mar-2021,348,786,490,126,11
260,12-Jan-2019,731,48,849,258,918
261,28-Jun-2021,247,613,509,586,825
262,08-Mar-2019,962,664,667,296,153
263,13-Sep-2020,411,703,491,430,535
264,05-Nov-2020,521,318,188,567,930
265,18-Apr-2018,205,503,189,997,619
266,09-Apr-2022,565,314,124,271,659
267,19-Jan-2022,568,54,58,837,529
268,07-Aug-2019,719,129,51,496,430
269,30-Dec-2021,339,676,286,175,647
270,12-Feb-2019,118,721,144,316,874
271,22-Jan-2018,524,669,923,98,59
272,19-Jun-2020,996,417,712,784,885
273,10-Feb-2020,226,783,529,734,902
274,16-Aug-2020,267,49,19,534,763
275,16-May-2018,331,165,88,916,122
276,13-Mar-2022,45,623,882,8,363
277,31-Dec-2021,397,236,397,506,304
278,28-Mar-2019,612,456,898,348,617
279,04-Dec-2020,276,834,280,697,663
280,21-Apr-2021,403,272,447,514,397
281,14-Aug-2020,608,663,229,667,730
282,28-Jul-2018,476,191,172,892,89
283,14-Mar-2019,256,781,458,385,916
284,03-May-2021,36,236,553,536,306
285,20-Aug-2018,395,199,618,988,25
286,04-Nov-2020,534,971,247,252,745
287,25-Oct-2020,64,127,947,475,967
288,18-Jun-2019,919,643,546,599,423
289,26-Mar-2018,514,347,446,616,99
290,01-Apr-2018,616,469,407,670,238
291,11-Nov-2019,837,458,784,297,687
292,17-Feb-2022,697,914,590,7,180
293,27-Dec-2018,214,315,449,893,900
294,05-Nov-2020,926,879,862,935,27
295,31-Jan-2019,607,810,222,259,250
296,24-Mar-2018,721,806,701,787,851
297,03-Apr-2020,468,923,110,349,847
298,03-Feb-2018,111,909,714,264,996
299,17-Apr-2022,629,689,569,242,969
300,06-Jul-2018,384,740,274,523,167
301,05-Mar-2021,477,225,490,189,797
302,28-Jan-2022,221,988,100,985,941
303,03-Jun-2020,496,656,432,547,475
304,23-Mar-2021,531,190,64,546,33
305,06-Apr-2022,612,856,665,913,989
306,29-Jun-2021,321,708,318,431,511
307,04-Jul-2019,473,840,614,457,23
308,01-Mar-2019,880,902,250,178,544
309,19-Nov-2021,573,539,836,70,873
310,23-Oct-2019,511,4,276,616,476
311,25-Jun-2021,981,321,443,22,832
312,01-Feb-2020,801,358,571,859,535
313,18-Oct-2020,204,588,944,451,278
314,12-Apr-2022,79,533,217,852,660
315,09-Sep-2018,584,360,459,98,455
316,09-Feb-2018,280,452,621,534,695
317,27-Dec-2019,606,495,343,774,866
318,23-May-2020,461,293,21,638,87
319,21-May-2022,712,654,794,34,276
320,31-Jan-2022,78,459,792,618,971
321,29-Nov-2020,60,186,967,136,584
322,30-Apr-2021,912,453,664,500,906
323,14-Jan-2022,964,52,162,924,446
324,12-Mar-2022,375,289,389,301,434
325,16-Feb-2022,605,330,687,187,924
326,25-Jan-2019,890,39,584,890,463
327,09-Mar-2020,136,550,472,477,147
328,14-Sep-2021,551,794,98,917,132
329,19-May-2019,784,183,476,26,202
330,12-Jan-2021,564,31,832,924,265
331,01-Jun-2021,793,730,95,140,315
332,25-Jun-2018,801,996,174,649,552
333,19-Jan-2022,963,573,643,698,341
334,31-May-2020,22,127,394,10,128
335,11-Jan-2018,381,232,432,656,582
336,10-Feb-2020,680,940,591,478,530
337,30-Oct-2021,406,499,3,864,946
338,26-Sep-2019,589,48,613,95,150
339,29-Jun-2021,807,565,614,511,933
340,22-Feb-2018,84,631,596,388,261
341,03-Nov-2020,756,397,828,82,478
342,24-Mar-2022,305,957,852,805,313
343,08-Jul-2021,797,686,593,734,837
344,05-Aug-2021,127,314,622,2,593
345,04-Jun-2020,669,919,241,928,816
346,05-Dec-2018,831,832,216,373,51
347,04-Feb-2019,423,50,889,858,427
348,06-Dec-2019,314,751,178,159,421
349,26-Oct-2018,471,295,549,672,691
350,27-Jul-2021,88,324,589,497,912
351,08-Mar-2022,399,721,339,126,495
352,28-Jun-2018,67,228,984,134,727
353,28-Dec-2021,483,369,410,188,517
354,17-Jan-2020,140,608,836,108,356
355,26-May-2018,795,769,266,757,255
356,25-Dec-2020,234,817,575,547,638
357,18-Jul-2020,7,298,956,683,285
358,01-May-2019,992,928,279,248,394
359,17-Dec-2019,520,242,922,869,681
360,12-Dec-2021,855,819,621,23,493
361,24-Oct-2019,314,199,637,134,481
362,28-Jan-2021,401,959,690,310,945
363,24-Mar-2019,903,687,576,396,777
364,30-Dec-2019,827,410,699,602,532
365,19-Dec-2021,659,526,184,390,195
366,17-May-2019,78,9,903,307,97
367,16-Apr-2020,343,25,319,841,384
368,28-Aug-2019,454,433,909,196,457
369,24-Feb-2019,505,794,746,869,623
370,22-Jun-2020,204,655,856,369,973
371,30-Dec-2020,222,996,208,423,429
372,02-Aug-2020,30,706,417,835,384
373,11-May-2019,876,1000,959,989,53
374,05-Dec-2020,422,506,374,373,731
375,22-Sep-2020,875,36,209,201,585
376,08-May-2018,104,32,505,68,168
377,14-May-2018,17,611,782,77,738
378,03-Sep-2019,696,177,822,248,572
379,12-Oct-2021,628,160,587,854,351
380,07-Oct-2020,193,972,55,181,435
381,19-Jun-2021,285,253,548,611,323
382,01-Dec-2018,871,741,894,596,860
383,07-Feb-2021,163,998,520,560,18
384,20-Jan-2022,638,709,870,145,672
385,11-Feb-2020,229,560,387,665,686
386,26-Nov-2018,741,363,641,165,303
387,03-Oct-2020,130,126,764,666,783
388,11-Aug-2020,251,759,910,444,81
389,11-Jan-2018,308,798,446,37,521
390,09-Nov-2021,5,358,897,569,414
391,27-Jun-2020,630,352,289,154,79
392,12-Jan-2022,105,559,233,912,105
393,01-Nov-2020,202,190,944,140,864
394,19-Jul-2018,929,429,75,357,7
395,16-May-2019,589,489,804,698,982
396,12-Mar-2021,324,28,679,694,96
397,13-Apr-2018,924,540,679,805,471
398,23-Aug-2018,304,259,20,439,727
399,10-Dec-2018,495,128,623,339,228
400,01-Aug-2019,326,888,354,12,977
401,17-Jun-2019,241,279,326,239,647
402,19-Apr-2021,113,817,750,35,912
403,20-Oct-2019,699,379,487,748,199
404,18-Jan-2021,724,279,155,200,704
405,02-Sep-2018,550,759,573,455,580
406,08-Feb-2022,548,909,980,674,288
407,19-Mar-2018,980,876,633,599,641
408,28-Dec-2020,552,341,659,213,844
409,06-Nov-2019,576,613,115,569,522
410,11-Aug-2020,567,959,305,325,730
411,20-Jun-2020,399,763,192,979,776
412,24-Jan-2020,99,148,801,956,226
413,01-Aug-2020,846,974,264,359,242
414,21-Sep-2018,599,871,303,760,658
415,18-May-2021,487,906,8,245,877
416,21-Jul-2021,83,421,948,630,196
417,25-Oct-2021,545,864,130,173,642
418,12-Oct-2021,626,174,122,336,916
419,15-Oct-2020,931,657,984,7,230
420,17-Jan-2018,387,205,229,650,14
421,19-Sep-2021,192,249,417,348,285
422,18-Jul-2021,923,131,94,383,921
423,20-May-2020,628,288,557,314,534
424,24-Dec-2021,442,310,149,294,186
425,17-Feb-2021,925,720,190,551,282
426,27-Jul-2019,793,164,965,485,55
427,16-Oct-2021,297,698,660,514,104
428,17-Apr-2020,554,745,392,930,916
429,14-Apr-2018,550,560,518,547,258
430,07-May-2018,419,700,981,174,356
431,08-Dec-2021,835,391,425,793,192
432,17-Mar-2019,286,20,5,11,337
433,03-Jan-2020,636,934,840,640,804
434,28-Jan-2018,729,249,742,939,753
435,10-May-2022,718,433,268,158,232
436,27-Oct-2020,667,839,337,684,750
437,05-Aug-2019,827,703,465,329,617
438,10-Mar-2021,366,425,182,245,616
439,20-Feb-2018,105,876,637,139,434
440,11-Mar-2020,401,114,631,156,941
441,13-Jun-2020,581,215,102,953,708
442,26-Feb-2020,731,709,949,819,11
443,17-Jul-2021,23,8,947,922,216
444,04-May-2021,610,139,499,36,102
445,24-Feb-2022,558,493,954,78,217
446,27-Nov-2019,491,445,922,818,500
447,22-Sep-2021,361,108,798,454,887
448,19-Sep-2019,543,19,64,705,624
449,06-Nov-2018,113,9,934,765,865
450,11-Dec-2021,687,345,603,558,977
451,03-May-2018,411,247,647,206,788
452,04-Dec-2020,387,227,802,189,810
453,24-Sep-2021,894,797,177,911,153
454,20-May-2018,296,672,529,405,454
455,19-Sep-2021,46,746,413,859,897
456,06-Sep-2020,682,579,258,123,2
457,02-Oct-2019,407,369,656,869,494
458,09-May-2021,916,50,116,470,698
459,22-Jul-2018,170,860,392,983,535
460,23-Sep-2018,772,554,632,847,16
461,09-Mar-2022,931,720,476,76,63
462,16-Dec-2019,833,443,752,995,348
463,28-Dec-2021,864,90,879,4,139
464,03-Jan-2022,456,243,641,806,983
465,11-May-2020,884,828,460,612,689
466,09-Jan-2019,639,870,719,366,44
467,29-Apr-2020,393,48,466,1000,609
468,09-Mar-2018,358,818,779,482,61
469,15-Jun-2020,203,324,567,259,422
470,17-Nov-2018,739,596,134,792,48
471,09-Apr-2019,456,50,508,28,905
472,28-Jun-2020,627,448,226,570,78
473,29-Jun-2019,526,854,259,867,508
474,10-Aug-2021,429,268,333,39,800
475,05-Apr-2020,83,462,925,583,10
476,06-Apr-2018,738,463,376,388,354
477,28-Sep-2021,62,802,763,375,945
478,28-Jan-2022,488,289,420,165,427
479,25-Apr-2019,110,249,743,172,50
480,06-Feb-2020,638,715,152,95,543
481,05-May-2019,143,361,758,316,445
482,30-Jan-2022,833,478,201,602,988
483,09-Mar-2018,135,806,832,564,290
484,04-Dec-2020,293,680,242,997,647
485,18-Apr-2019,811,738,788,921,847
486,20-Oct-2020,580,951,42,553,404
487,05-Apr-2022,734,78,617,961,243
488,05-Apr-2019,157,83,814,257,474
489,23-Dec-2020,908,373,838,131,912
490,10-Mar-2019,890,1,732,224,446
491,07-Dec-2019,637,465,319,78,780
492,10-Dec-2020,925,836,586,44,604
493,09-Aug-2020,520,580,45,997,327
494,06-Jul-2018,795,939,503,854,645
495,16-Feb-2020,82,933,200,467,754
496,18-Feb-2019,895,205,559,114,40
497,24-Nov-2019,714,865,720,663,782
498,05-Apr-2019,509,420,16,391,335
499,25-Dec-2021,615,588,416,947,797
500,18-Dec-2018,40,562,350,368,282
501,24-Nov-2019,541,166,447,235,384
502,14-Sep-2019,652,506,140,634,173
503,20-Jan-2019,856,457,663,431,197
504,09-Dec-2020,151,482,262,495,655
505,16-Dec-2019,352,286,346,999,589
506,19-Dec-2018,427,325,61,920,106
507,13-Feb-2020,293,760,374,568,35
508,02-Jun-2019,785,683,569,718,887
509,28-Sep-2019,574,930,185,602,832
510,24-Jan-2020,107,284,347,677,612
511,05-Mar-2018,312,246,755,327,396
512,04-Feb-2019,807,415,314,960,423
513,17-Jun-2019,185,574,697,345,90
514,01-Sep-2018,216,847,91,73,209
515,20-Jan-2020,764,712,934,31,351
516,25-Feb-2021,839,233,105,583,670
517,24-Mar-2021,515,127,800,680,471
518,10-Oct-2019,724,305,582,330,711
519,19-Apr-2018,393,598,468,816,962
520,15-Mar-2018,873,701,285,522,642
521,29-Apr-2018,133,356,205,839,22
522,02-Sep-2021,218,552,814,571,107
523,27-Aug-2021,252,202,741,639,461
524,07-Jan-2019,357,205,489,97,402
525,02-Sep-2018,906,957,206,599,476
526,29-Aug-2019,359,6,893,185,578
527,04-Feb-2021,115,155,132,856,252
528,30-May-2019,503,808,118,326,920
529,05-Jan-2018,959,590,867,198,442
530,25-Aug-2018,79,101,131,508,117
531,16-May-2019,318,33,141,537,993
532,06-Aug-2020,797,105,880,944,923
533,05-May-2019,381,99,641,218,286
534,19-Sep-2018,36,358,359,721,620
535,29-Jan-2019,303,651,947,796,833
536,27-May-2019,161,633,461,137,146
537,14-Jul-2020,261,261,934,609,828
538,01-Mar-2018,418,531,708,938,545
539,22-Dec-2019,338,177,89,486,2
540,19-Feb-2019,474,215,460,528,304
541,03-Mar-2020,553,370,255,601,694
542,01-Sep-2019,632,965,766,492,744
543,08-Oct-2018,286,210,10,341,846
544,28-Jan-2022,443,22,813,197,885
545,15-Jan-2018,850,863,771,831,663
546,10-Dec-2019,560,512,199,133,988
547,14-Jun-2019,705,861,683,526,882
548,07-Jul-2019,884,66,314,396,94
549,12-May-2021,660,455,475,575,132
550,01-May-2021,737,964,101,293,434
551,03-Sep-2021,157,96,950,66,651
552,20-Sep-2021,522,701,552,614,988
553,20-Jan-2019,12,212,313,227,801
554,13-Oct-2018,981,170,19,343,740
555,08-Jan-2018,545,325,119,605,110
556,02-Nov-2020,71,836,240,854,43
557,14-Mar-2022,520,568,754,139,817
558,14-Jan-2020,739,627,207,614,803
559,20-Mar-2022,157,57,473,219,212
560,30-Nov-2020,647,778,603,187,452
561,04-Dec-2019,579,346,685,353,654
562,26-Sep-2018,608,251,319,746,599
563,25-Dec-2018,723,57,281,775,826
564,05-Mar-2020,157,254,26,377,613
565,16-Aug-2020,409,360,518,447,288
566,13-Dec-2019,116,739,634,756,603
567,01-Oct-2019,908,732,543,652,765
568,05-Aug-2018,576,709,956,998,111
569,08-Mar-2022,7,877,387,381,947
570,25-Oct-2019,191,69,962,505,748
571,04-Apr-2019,650,182,123,448,950
572,19-Mar-2021,514,721,543,623,550
573,14-May-2021,326,389,501,382,570
574,01-Jan-2019,894,899,527,499,57
575,26-Oct-2021,52,863,780,931,814
576,17-Sep-2019,376,676,359,803,972
577,05-May-2019,588,710,218,321,327
578,01-Aug-2018,115,645,397,864,229
579,15-May-2018,533,462,277,289,687
580,17-Apr-2019,946,858,943,771,382
581,19-Nov-2018,512,947,825,953,425
582,22-Jan-2022,463,576,762,204,473
583,14-Sep-2018,859,847,577,404,876
584,29-Nov-2018,703,982,228,257,485
585,12-Jan-2018,710,126,416,5,721
586,06-Jul-2018,983,427,845,727,248
587,28-Jul-2018,723,992,636,451,807
588,25-Mar-2018,311,705,405,295,387
589,21-Dec-2020,543,422,481,117,615
590,13-Feb-2022,810,370,989,984,672
591,24-Jul-2018,851,322,393,244,840
592,18-Oct-2021,369,496,440,61,338
593,07-Aug-2021,977,880,862,877,656
594,09-Oct-2020,599,242,887,69,474
595,05-Oct-2020,321,780,963,693,750
596,31-May-2019,7,968,677,735,680
597,08-Jun-2021,390,372,848,523,851
598,17-Feb-2022,730,621,606,935,938
599,28-May-2019,743,736,624,301,386
600,18-Aug-2018,225,178,192,979,637
601,13-Jun-2020,64,627,443,148,674
602,12-Apr-2019,761,320,519,72,81
603,19-Jan-2022,591,813,402,233,290
604,21-Jan-2018,536,472,849,966,6
605,22-Sep-2019,138,875,616,228,217
606,12-Feb-2022,139,581,337,293,386
607,11-Mar-2022,997,923,93,848,809
608,16-Jun-2018,944,100,486,955,753
609,14-Mar-2019,329,420,73,347,574
610,04-Jan-2018,662,214,589,275,790
611,19-Jan-2020,275,163,385,701,989
612,23-Mar-2018,94,711,795,336,702
613,27-Jun-2018,443,478,449,491,776
614,15-Feb-2020,203,311,247,720,593
615,13-Mar-2021,10,10,586,295,487
616,19-Mar-2022,93,308,663,428,789
617,10-May-2018,122,671,373,900,583
618,23-Nov-2018,775,103,707,922,869
619,28-Oct-2018,16,69,1000,105,316
620,18-Jul-2018,925,720,805,83,907
621,24-Nov-2018,439,734,172,923,632
622,18-Jun-2020,144,640,222,491,402
623,09-Jan-2021,192,16,922,794,568
624,07-Aug-2018,735,139,369,948,374
625,24-Jan-2020,75,785,266,819,318
626,06-Aug-2021,818,760,154,111,901
627,04-Feb-2018,994,580,151,682,852
628,20-Jan-2022,731,543,492,287,934
629,19-Feb-2021,893,987,143,141,537
630,13-Apr-2019,515,197,936,801,976
631,29-Oct-2018,198,251,815,261,403
632,05-Aug-2018,335,653,367,851,168
633,28-Dec-2018,137,66,875,588,830
634,04-Feb-2021,661,626,39,987,849
635,08-Nov-2021,654,261,412,819,58
636,09-Dec-2019,400,19,858,596,254
637,09-Nov-2018,726,481,326,700,967
638,06-Aug-2020,158,804,536,495,3
639,15-Mar-2020,847,799,731,466,214
640,11-Mar-2018,607,692,871,966,802
641,07-Feb-2018,262,857,198,155,129
642,14-Jan-2019,166,89,531,109,895
643,21-Nov-2019,147,775,560,203,726
644,17-Nov-2019,82,449,678,731,465
645,18-Jan-2019,413,951,348,191,895
646,03-Sep-2018,275,557,741,675,237
647,26-Aug-2019,719,996,578,731,589
648,23-Jan-2021,552,472,562,3,585
649,01-Apr-2019,763,860,771,682,425
650,12-Jun-2020,947,454,717,399,731
651,24-May-2018,874,58,593,734,940
652,26-Dec-2020,901,805,288,181,973
653,23-Mar-2022,64,331,612,224,203
654,29-Aug-2018,256,112,883,196,626
655,04-May-2021,898,80,167,299,253
656,19-Apr-2021,651,22,781,323,51
657,01-Apr-2022,92,8,948,958,716
658,06-Nov-2021,166,512,24,310,369
659,01-Mar-2021,457,192,459,164,222
660,03-Sep-2021,927,226,785,621,749
661,16-Jun-2018,277,415,526,443,394
662,08-Jul-2020,127,713,821,412,378
663,29-Mar-2018,805,842,437,516,148
664,04-Apr-2018,565,860,515,761,622
665,22-Jul-2021,781,575,698,294,22
666,14-Mar-2018,299,771,286,236,933
667,09-Mar-2019,803,108,180,688,525
